file_size,num_lines,avg_line_len,max_line_len,entropy,special_char_ratio,digit_ratio,uppercase_ratio,space_ratio,hex_escape_count,unicode_escape_count,base64_count,long_string_count,eval_count,unescape_count,atob_count,function_constructor,settimeout_count,setinterval_count,document_write,num_identifiers,avg_identifier_len,avg_identifier_entropy,array_access_count,hex_array_index,num_functions,num_var_decl,num_semicolons,num_commas,bracket_ratio,square_bracket_ratio
2575,76,33.88157894736842,99,4.856690384978684,0.17475728155339806,0.007378640776699029,0.01825242718446602,0.2112621359223301,0,0,0,2,1,0,0,0,0,0,0,300,5.21,2.2053588926887153,0,0,4,2,17,15,0.02174757281553398,0.011650485436893204
1397,43,32.48837209302326,100,4.808680060872283,0.21116678596993557,0.014316392269148175,0.02219040801717967,0.18611309949892627,0,0,0,0,0,0,0,0,0,0,0,132,6.265151515151516,2.3439709033780423,0,0,8,1,24,11,0.06156048675733715,0.0
426,14,30.428571428571427,74,4.84854438389207,0.19953051643192488,0.007042253521126761,0.03286384976525822,0.14553990610328638,0,0,0,0,0,0,0,0,0,0,0,50,5.52,2.481296227145647,0,0,3,0,8,3,0.08450704225352113,0.0
1101,39,28.23076923076923,79,4.780841352665097,0.18528610354223432,0.0,0.027247956403269755,0.15440508628519528,0,0,0,0,0,0,0,0,0,0,0,113,6.433628318584071,2.508866912292742,0,0,5,1,23,10,0.06902815622161672,0.0
4706,134,35.11940298507463,100,4.81720670162592,0.1685082872928177,0.0016999575010624734,0.019549511262218443,0.23055673608159796,0,0,0,3,0,0,0,0,0,0,0,539,5.231910946196661,2.2553358858675243,0,0,10,12,40,23,0.02847428814279643,0.0025499362515937103
4679,142,32.95070422535211,111,4.919450765254274,0.20816413763624705,0.0017097670442402222,0.029707202393673863,0.1808078649284035,0,0,0,0,0,0,0,0,0,0,0,532,5.370300751879699,2.3945633902935137,0,0,19,5,79,49,0.053857661893567,0.008121393460141057
54120,1383,39.13232104121475,138,4.732947076933798,0.1152439024390244,0.0013673318551367332,0.03294530672579453,0.23944937176644493,0,0,0,43,0,0,0,2,0,0,0,6240,5.591346153846154,2.2820742653474104,0,0,92,44,298,312,0.01359940872135994,0.0021064301552106432
22399,581,38.55249569707401,146,4.722327314895553,0.12589847761060763,0.0032590740658065094,0.023751060315192644,0.24152863967141391,0,0,0,27,1,0,0,0,0,0,0,2563,5.501755754974639,2.2686203811816457,0,0,23,14,82,108,0.010000446448502166,0.001875083709094156
38176,941,40.56960680127524,135,4.6360767427720235,0.16036253143336127,0.0081464794635373,0.029992665549036044,0.2723700754400671,0,0,0,13,0,0,0,0,0,0,0,3307,6.470819473843362,2.457568183491067,0,0,73,85,501,137,0.04316848281642917,0.00047150041911148366
60818,1940,31.349484536082475,122,4.642136242158046,0.15840705054424678,0.004965635173797231,0.02578184090236443,0.2608602716301095,0,0,0,61,0,0,0,0,0,0,0,5791,6.0499050250388535,2.3396301603561174,0,0,203,87,1115,340,0.05208984182314447,0.002499260087474103
1276,35,36.457142857142856,100,4.901389413241277,0.13479623824451412,0.013322884012539185,0.030564263322884012,0.18887147335423196,0,0,0,1,0,0,0,0,0,0,0,160,5.2875,2.2056183029492664,0,0,1,1,5,5,0.023510971786833857,0.0
1443,40,36.075,110,4.6467479048333775,0.2203742203742204,0.005544005544005544,0.01593901593901594,0.2661122661122661,0,0,0,0,0,0,0,0,0,0,0,156,4.7243589743589745,2.1421019464120516,0,0,3,3,19,3,0.05266805266805267,0.0
7274,189,38.48677248677249,124,4.891767584480387,0.1926037943359912,0.006598845202089634,0.03450646136926038,0.1509485839978004,0,0,0,1,0,0,0,0,0,0,0,805,5.900621118012422,2.3188081898771666,0,0,21,21,126,37,0.06598845202089634,0.00027495188342040145
30429,718,42.380222841225624,254,4.7173902655162925,0.12179171185382366,0.009727562522593578,0.027276611127542805,0.2611653356994972,0,0,1,20,0,0,0,0,0,0,0,3262,5.6707541385652975,2.309969259869079,0,0,37,74,197,153,0.01715468796214138,0.005323868677905945
110502,3501,31.56298200514139,175,4.709390121435992,0.17824111780782248,0.009990769397838953,0.02071455720258457,0.2427738864454942,0,0,0,66,0,0,0,1,0,0,0,11084,5.675297726452544,2.2923891074542397,0,0,365,112,1736,870,0.053284103455141084,0.00953828889974842
10937,241,45.38174273858921,117,4.7753586488256055,0.12983450672030722,0.008411813111456523,0.027246959861022216,0.2551888086312517,0,0,0,11,1,0,0,0,0,0,0,1220,5.467213114754099,2.282668682967598,0,0,9,15,62,88,0.021395263783487245,0.002011520526652647
15886,421,37.73396674584323,132,4.555763662731187,0.19683998489235804,0.00950522472617399,0.025997733853707666,0.2820722648873222,0,0,0,1,0,0,0,0,0,0,0,1513,5.391936549900859,2.182240705429197,0,0,25,2,237,80,0.05073649754500818,0.001384867178647866
42246,879,48.06143344709898,165,4.891717535172072,0.19381716612223643,0.006509492022913412,0.02937556218340198,0.1972021019741514,0,0,0,6,0,0,0,0,0,0,0,4420,5.781447963800905,2.2435362834850157,0,0,138,72,558,319,0.04923543057330872,0.0010415187236661458
11490,297,38.686868686868685,110,4.696706125761741,0.15709312445604873,0.002523933855526545,0.03150565709312446,0.26135770234986944,0,0,0,9,0,0,0,0,0,0,0,1144,5.805944055944056,2.328364909781336,0,0,32,21,108,46,0.03568320278503046,0.0020887728459530026
18127,562,32.254448398576514,131,4.570843848136129,0.1561207039223258,0.0016549897942296022,0.026369504054724997,0.2670601864621835,0,0,0,11,0,0,0,0,0,0,0,1543,6.774465327284511,2.4462253515324304,0,0,102,40,256,133,0.04402272852650742,0.0012136591824350416
28712,664,43.24096385542169,170,4.686956056309053,0.12054193368626358,0.00459738088604068,0.02340484814711619,0.2660908331011424,0,0,1,21,0,0,0,0,0,0,0,3389,5.1575686043080555,2.237243700902594,0,0,26,27,150,214,0.012677626079687936,0.004388409027584285
51148,1613,31.709857408555486,146,4.813989519899334,0.20919684054117463,0.008035504809572222,0.014780636584030657,0.23735043403456635,0,0,0,16,0,0,0,0,0,0,0,5534,5.056017347307553,2.250998679496232,0,0,129,43,919,447,0.051145694846328305,0.007194807226088997
1103,34,32.44117647058823,100,4.753099860823563,0.1659111514052584,0.006346328195829556,0.025385312783318223,0.16772438803263826,0,0,0,0,0,0,0,0,0,0,0,125,5.832,2.343672337907744,0,0,9,0,17,7,0.07615593834995467,0.0
17672,439,40.25512528473804,170,4.81053419536914,0.13852421910366683,0.005885015844273427,0.025860117700316886,0.22312132186509734,0,0,0,16,0,0,0,0,0,0,0,2243,4.969683459652251,2.1627779543878263,0,0,10,12,89,47,0.009506564056133997,0.0004526935264825713
